iter	RMSE
0	23201.86881
1	22831.82021
2	22397.8184
3	22016.89958
4	21631.49417
5	21276.09385
6	20952.6847
7	20587.66625
8	20272.24279
9	19933.20631
10	19664.90796
11	19388.87786
12	19109.36955
13	18845.01833
14	18575.78684
15	18325.98793
16	18147.71137
17	17870.99981
18	17636.55055
19	17418.44329
20	17201.41124
21	17022.32991
22	16838.19424
23	16658.9479
24	16440.40223
25	16259.60023
26	16118.25016
27	15938.86283
28	15771.3421
29	15618.98164
30	15454.14791
31	15319.1699
32	15198.13871
33	15078.15048
34	14941.89293
35	14852.52152
36	14743.83064
37	14675.03314
38	14596.09755
39	14519.31271
40	14460.12001
41	14342.4468
42	14210.14179
43	14151.18852
44	14070.37901
45	13933.91895
46	13878.7211
47	13794.88922
48	13736.28059
49	13682.82118
50	13639.875
51	13534.98833
52	13457.97689
53	13356.21232
54	13261.33682
55	13139.36305
56	13055.84829
57	12936.14059
58	12885.21213
59	12835.73577
60	12792.23747
61	12696.7773
62	12654.39166
63	12566.81749
64	12518.3075
65	12451.8209
66	12357.51599
67	12335.51567
68	12286.97489
69	12252.4366
70	12227.82862
71	12192.76599
72	12154.48482
73	12128.30805
74	12092.29337
75	12055.74956
76	12008.2521
77	11935.69562
78	11912.26484
79	11877.92597
80	11821.79584
81	11787.9804
82	11710.1932
83	11685.36302
84	11666.08271
85	11615.33371
86	11595.17975
87	11546.56404
88	11528.19065
89	11488.09335
90	11467.19629
91	11442.84139
92	11411.64913
93	11356.0235
94	11301.23883
95	11285.40382
96	11263.81064
97	11247.48825
98	11229.90734
99	11189.5581
100	11109.52524
101	11095.2432
102	11079.24589
103	11057.71101
104	11052.62133
105	10967.36591
106	10945.05826
107	10927.23634
108	10863.65182
109	10845.45048
110	10832.4751
111	10821.65654
112	10780.60691
113	10720.18084
114	10706.82116
115	10690.20002
116	10677.88518
117	10661.39182
118	10651.06549
119	10648.38617
120	10638.19591
121	10630.33218
122	10553.16119
123	10542.46863
124	10524.70525
125	10502.64151
126	10486.2648
127	10457.10172
128	10427.96836
129	10412.29555
130	10334.53971
131	10306.46639
132	10226.74615
133	10171.93662
134	10110.78429
135	10107.52403
136	10101.84391
137	10078.54097
138	10029.39077
139	10019.12266
140	9963.456999
141	9879.813518
142	9869.304565
143	9865.941726
144	9812.380515
145	9803.563546
146	9732.452239
147	9726.850879
148	9718.616943
149	9710.805649
